,fips,month,cases_diff,deaths_diff
75467,53033,202002,3.0,1.0
75468,53033,202003,2328.0,151.0
75469,53033,202004,3978.0,296.0
75470,53033,202005,1851.0,121.0
75471,53033,202006,2037.0,43.0
75472,53033,202007,5018.0,56.0
75473,53033,202008,4468.0,74.0
75474,53033,202009,2735.0,38.0
75475,53033,202010,5357.0,54.0
75476,53033,202011,16649.0,66.0
75477,53033,202012,18157.0,152.0
75478,53033,202101,15430.0,192.0
75479,53033,202102,6004.0,152.0
75480,53033,202103,6678.0,71.0
75481,53033,202104,11191.0,50.0
75482,53033,202105,7646.0,62.0
75483,53033,202106,3036.0,85.0
75484,53033,202107,4272.0,20.0
75485,53033,202108,18794.0,85.0
75486,53033,202109,16015.0,120.0
75487,53033,202110,12573.0,120.0
75488,53033,202111,8909.0,77.0
75489,53033,202112,27745.0,78.0
75490,53033,202201,145202.0,166.0
75491,53033,202202,19796.0,239.0
75492,53033,202203,8058.0,130.0
75493,53033,202204,21461.0,41.0
75726,53053,202003,352.0,6.0
75727,53053,202004,1201.0,45.0
75728,53053,202005,670.0,28.0
75729,53053,202006,663.0,22.0
75730,53053,202007,2457.0,33.0
75731,53053,202008,2156.0,47.0
75732,53053,202009,1472.0,48.0
75733,53053,202010,2725.0,27.0
75734,53053,202011,6556.0,62.0
75735,53053,202012,9367.0,30.0
75736,53053,202101,7582.0,119.0
75737,53053,202102,3189.0,84.0
75738,53053,202103,4129.0,55.0
75739,53053,202104,6528.0,43.0
75740,53053,202105,6071.0,45.0
75741,53053,202106,1852.0,-49.0
75742,53053,202107,2591.0,24.0
75743,53053,202108,11911.0,35.0
75744,53053,202109,12093.0,96.0
75745,53053,202110,8973.0,77.0
75746,53053,202111,6289.0,87.0
75747,53053,202112,12445.0,47.0
75748,53053,202201,64032.0,150.0
75749,53053,202202,12292.0,147.0
75750,53053,202203,3758.0,66.0
75751,53053,202204,3802.0,27.0
75830,53061,202001,0.0,0.0
75831,53061,202002,1.0,0.0
75832,53061,202003,1226.0,32.0
75833,53061,202004,1218.0,76.0
75834,53061,202005,903.0,39.0
75835,53061,202006,669.0,23.0
75836,53061,202007,1723.0,27.0
75837,53061,202008,1344.0,23.0
75838,53061,202009,1088.0,3.0
75839,53061,202010,2046.0,21.0
75840,53061,202011,5754.0,57.0
75841,53061,202012,7216.0,92.0
75842,53061,202101,5184.0,95.0
75843,53061,202102,2455.0,50.0
75844,53061,202103,1772.0,20.0
75845,53061,202104,3342.0,8.0
75846,53061,202105,2930.0,19.0
75847,53061,202106,1359.0,19.0
75848,53061,202107,2527.0,16.0
75849,53061,202108,8357.0,29.0
75850,53061,202109,7936.0,49.0
75851,53061,202110,6667.0,60.0
75852,53061,202111,6427.0,39.0
75853,53061,202112,8145.0,44.0
75854,53061,202201,59591.0,107.0
75855,53061,202202,6881.0,105.0
75856,53061,202203,2519.0,59.0
75857,53061,202204,5745.0,27.0
