,month,val,tax,color
0,0.0,-47.1253969802129,Arts / Museum,b
1,0.3,-24.85872254973729,Arts / Museum,b
2,0.6,-14.221244388651877,Arts / Museum,b
3,1.0,-41.159961642509906,Entertainment,gray
4,1.3,-19.138729708991587,Entertainment,gray
5,1.6,-11.949609110561887,Entertainment,gray
6,2.0,-36.17696093667703,Transportation,skyblue
7,2.3,-21.33876405323851,Transportation,skyblue
8,2.6,-13.527036057068514,Transportation,skyblue
9,3.0,-35.98161364476898,Coffee / Tea,brown
10,3.3,-17.46796858025195,Coffee / Tea,brown
11,3.6,-11.419695084731083,Coffee / Tea,brown
12,4.0,-34.60415521776753,Food,orange
13,4.3,-15.106385892582296,Food,orange
14,4.6,-9.905831974873973,Food,orange
15,5.0,-34.119936599592165,City / Outdoors,r
16,5.3,-20.437280492229842,City / Outdoors,r
17,5.6,-13.441024313911266,City / Outdoors,r
18,6.0,-33.776156208956714,Shopping,g
19,6.3,-13.552108601500843,Shopping,g
20,6.6,-9.154331658990074,Shopping,g
21,7.0,-30.07257632184078,Service,purple
22,7.3,-15.448254610213018,Service,purple
23,7.6,-11.800088841791192,Service,purple
24,8.0,-21.87243096812545,Health,pink
25,8.3,-9.136096401766196,Health,pink
26,8.6,-7.455726480954469,Health,pink
27,9.0,-19.275322049109473,Grocery,cyan
28,9.3,-11.294392671041125,Grocery,cyan
29,9.6,-7.6415958215213005,Grocery,cyan
