,city,time,mode,value
0,boston,0.0,weakcounterfac,-3.9531448348182794
1,boston,0.0,counterfac,-4.365704346699978
2,boston,0.0,actual,-7.560543846519505
3,boston,1.0,weakcounterfac,-2.8811606376597663
4,boston,1.0,counterfac,-3.1231119957673763
5,boston,1.0,actual,-5.550668289106191
6,boston,2.0,weakcounterfac,-1.529464647095729
7,boston,2.0,counterfac,-2.0449549418417585
8,boston,2.0,actual,-3.316440234833107
9,seattle,0.0,weakcounterfac,-2.3443273920778904
10,seattle,0.0,counterfac,-2.675110917865774
11,seattle,0.0,actual,-6.585460882746887
12,seattle,1.0,weakcounterfac,-2.4854503504111145
13,seattle,1.0,counterfac,-2.6024937560122288
14,seattle,1.0,actual,-5.711533380868214
15,seattle,2.0,weakcounterfac,-1.3172057318816301
16,seattle,2.0,counterfac,-2.589282154056419
17,seattle,2.0,actual,-3.523243992731185
18,la,0.0,weakcounterfac,-4.907229826160628
19,la,0.0,counterfac,-5.641343657230571
20,la,0.0,actual,-10.243690657549067
21,la,1.0,weakcounterfac,-5.941526047645008
22,la,1.0,counterfac,-6.368453797979306
23,la,1.0,actual,-9.592008949908854
24,la,2.0,weakcounterfac,-4.066278086635012
25,la,2.0,counterfac,-4.377243841098861
26,la,2.0,actual,-5.958948432717076
27,dallas,0.0,weakcounterfac,-1.098770855211369
28,dallas,0.0,counterfac,-1.1960797049940546
29,dallas,0.0,actual,-4.5212577007376655
30,dallas,1.0,weakcounterfac,-1.8892431237611191
31,dallas,1.0,counterfac,-1.9578204043837373
32,dallas,1.0,actual,-3.2934214520302114
33,dallas,2.0,weakcounterfac,-0.5331958778162629
34,dallas,2.0,counterfac,-0.7722256690327732
35,dallas,2.0,actual,-1.6536255669517295
